CAM	participantCAM	id	date	daughterID	motherID	intensity	agreement	isBidirectional	isDeletable	isActive
c5c12ed3-6bab-4e44-b473-37b0a2ab9eea	20593	87d84f43-f2de-4a32-9c9b-445969eaa913	2022-12-16T10:33:27Z	23a1f44a-942f-47d5-a08f-3557e17700fa	f308b954-66cd-41eb-9040-ab7343bff7ac	9	1	0	1	TRUE
c5c12ed3-6bab-4e44-b473-37b0a2ab9eea	20593	05fdf157-ef2d-430e-b5ae-7233559e1993	2022-12-16T10:36:48Z	f308b954-66cd-41eb-9040-ab7343bff7ac	7e3f54c8-feb5-4d5a-8fe1-b390c703633d	3	1	0	1	TRUE
c5c12ed3-6bab-4e44-b473-37b0a2ab9eea	20593	f75e62af-1a14-4859-ba57-cf7b59ec3bc4	2022-12-16T10:39:21Z	7e3f54c8-feb5-4d5a-8fe1-b390c703633d	1a0d0d66-57b0-41d8-bec6-61cf6d6aa774	3	1	1	1	TRUE
c5c12ed3-6bab-4e44-b473-37b0a2ab9eea	20593	50783f38-f194-4b97-a81a-ed56d4708bb7	2022-12-16T10:40:24Z	a715555e-68f3-480d-9d77-cbd8824f6182	9ebfe382-cdcf-4dd3-a697-b8f153f4baf0	3	1	1	1	TRUE
c5c12ed3-6bab-4e44-b473-37b0a2ab9eea	20593	826c19f0-ff14-4e03-b1bb-4b4145fb7649	2022-12-16T10:42:25Z	ba7823aa-3038-4262-9751-77a24e8c44af	a2899a10-ad95-424a-ae0d-143ed3b7c353	3	1	0	1	TRUE
c5c12ed3-6bab-4e44-b473-37b0a2ab9eea	20593	0f7a90e4-e44a-4996-be41-dde578e4c939	2022-12-16T10:43:21Z	5c21f7a0-0c5e-4b38-9ad2-d20979fed3b1	9ebfe382-cdcf-4dd3-a697-b8f153f4baf0	3	1	1	1	TRUE
a911b23c-3340-4117-89d4-b8da67a880a5	20683	72b8d021-7b01-46c4-a679-1b4470283e36	2022-12-15T18:01:42Z	dabf382a-1a08-4843-82eb-347e082f080d	ed61640d-6257-4c54-9fcc-964e6b65adc1	6	1	0	1	TRUE
a911b23c-3340-4117-89d4-b8da67a880a5	20683	fa62de46-fa6c-46bf-83bc-4b1d1594a310	2022-12-15T18:02:37Z	805ea2b3-edaa-44c6-997d-7b5aef4678c6	dabf382a-1a08-4843-82eb-347e082f080d	3	1	0	1	TRUE
a911b23c-3340-4117-89d4-b8da67a880a5	20683	fb4c56d8-f3ba-4ec1-8dcf-d497d1e2f574	2022-12-15T18:03:48Z	fb630811-bf1e-455c-b33d-69f04a23628f	ed61640d-6257-4c54-9fcc-964e6b65adc1	3	1	0	1	TRUE
a911b23c-3340-4117-89d4-b8da67a880a5	20683	a1d6a756-1d6c-4280-850b-fd35473a7673	2022-12-15T18:04:21Z	34b2c077-b5f4-412a-b709-cbfe6d76e397	ed61640d-6257-4c54-9fcc-964e6b65adc1	3	1	0	1	TRUE
a911b23c-3340-4117-89d4-b8da67a880a5	20683	e8e0097d-d143-4afe-827f-2700e53346b0	2022-12-15T18:05:19Z	6c0f5e1f-fbda-4dac-99f0-b557f29e3032	34b2c077-b5f4-412a-b709-cbfe6d76e397	3	1	0	1	TRUE
a911b23c-3340-4117-89d4-b8da67a880a5	20683	a9d63dea-3990-4bd8-aaf7-6bace7fd1173	2022-12-15T18:06:27Z	e6914a31-7800-4d63-9b0c-2c721330f1d7	34b2c077-b5f4-412a-b709-cbfe6d76e397	3	1	0	1	TRUE
a911b23c-3340-4117-89d4-b8da67a880a5	20683	b2f08d09-0f79-4bf2-88ee-3ce5e796a7f4	2022-12-15T18:07:09Z	95ac378c-d4e5-40af-9870-efa12778d5ba	34b2c077-b5f4-412a-b709-cbfe6d76e397	3	1	0	1	TRUE
a911b23c-3340-4117-89d4-b8da67a880a5	20683	889931e7-8a54-46c7-a68d-d22965849586	2022-12-15T18:08:21Z	a1fa4f13-2850-4809-9984-55127b711b67	dabf382a-1a08-4843-82eb-347e082f080d	3	1	1	1	TRUE
a911b23c-3340-4117-89d4-b8da67a880a5	20683	57894c59-9b2c-42fa-9211-3b324e94b620	2022-12-15T18:08:52Z	ef387744-bba3-436e-833a-92b3c4f9ee79	ed61640d-6257-4c54-9fcc-964e6b65adc1	3	0	0	1	TRUE
a911b23c-3340-4117-89d4-b8da67a880a5	20683	725d6c4f-03c8-45e6-81a2-a3867635ef14	2022-12-15T18:09:51Z	d28fed83-f28e-4324-bbd2-4e6169ed0a96	ed61640d-6257-4c54-9fcc-964e6b65adc1	6	1	0	1	TRUE
a911b23c-3340-4117-89d4-b8da67a880a5	20683	8d2b09e1-2844-4042-9df0-86520db75113	2022-12-15T18:10:43Z	f4102bf4-fb0d-4c42-8226-16e2746dfa3c	d28fed83-f28e-4324-bbd2-4e6169ed0a96	3	1	1	1	TRUE
a911b23c-3340-4117-89d4-b8da67a880a5	20683	e05206c1-d5bb-4f91-ac92-16032d78771a	2022-12-15T18:11:49Z	c5ec0657-a85a-42a0-af48-fe61cd917720	d28fed83-f28e-4324-bbd2-4e6169ed0a96	3	1	1	1	TRUE
